['0', '*', '*', 'beta'] : 000011001110001101110101101000010101011001101100
['1', '2', '*', 'beta'] : 010001010101111000111110101011100101011001101100
['2', '2', '*', 'beta'] : 000001101010011000111110101011100101011001101100
['3', '2', '*', 'beta'] : 011100101100000100111110101011100101011001101100
['4', '2', '*', 'beta'] : 010110000101111100111110101011100101011001101100
['1', '3', '*', 'beta'] : 010001010101111001101101110110100101011001101100
['2', '3', '*', 'beta'] : 000001101010011001101101110110100101011001101100
['3', '3', '*', 'beta'] : 011100101100000101101101110110100101011001101100
['4', '3', '*', 'beta'] : 010110000101111101101101110110100101011001101100
['1', '4', '*', 'beta'] : 010001010101111010100111110000000101011001101100
['2', '4', '*', 'beta'] : 000001101010011010100111110000000101011001101100
['3', '4', '*', 'beta'] : 011100101100000110100111110000000101011001101100
['4', '4', '*', 'beta'] : 010110000101111110100111110000000101011001101100
['16', '4', '1', 'alpha'] : 101011011001001010100111110000001101101010111111
['16', '4', '2', 'alpha'] : 101011011001001010100111110000001001010111101001
['16', '4', '3', 'alpha'] : 101011011001001010100111110000001110110011101100
['1', '2', '10', 'beta'] : 010001010101111000111110101011101101111000110011
['2', '2', '10', 'beta'] : 000001101010011000111110101011101101111000110011
['3', '2', '10', 'beta'] : 011100101100000100111110101011101101111000110011
['1', '3', '10', 'beta'] : 010001010101111001101101110110101101111000110011
['2', '3', '10', 'beta'] : 000001101010011001101101110110101101111000110011
['3', '3', '10', 'beta'] : 011100101100000101101101110110101101111000110011
['1', '4', '10', 'beta'] : 010001010101111010100111110000001101111000110011
['2', '4', '10', 'beta'] : 000001101010011010100111110000001101111000110011
['3', '4', '10', 'beta'] : 011100101100000110100111110000001101111000110011
['1', '1', '1', 'alpha'] : 010001010101111000101111110000111101101010111111
['2', '1', '1', 'alpha'] : 000001101010011000101111110000111101101010111111
['3', '1', '1', 'alpha'] : 011100101100000100101111110000111101101010111111
['4', '1', '1', 'alpha'] : 010110000101111100101111110000111101101010111111
['1', '2', '1', 'alpha'] : 010001010101111000111110101011101101101010111111
['2', '2', '1', 'alpha'] : 000001101010011000111110101011101101101010111111
['3', '2', '1', 'alpha'] : 011100101100000100111110101011101101101010111111
['4', '2', '1', 'alpha'] : 010110000101111100111110101011101101101010111111
['1', '3', '1', 'alpha'] : 010001010101111001101101110110101101101010111111
['2', '3', '1', 'alpha'] : 000001101010011001101101110110101101101010111111
['3', '3', '1', 'alpha'] : 011100101100000101101101110110101101101010111111
['4', '3', '1', 'alpha'] : 010110000101111101101101110110101101101010111111
['1', '4', '1', 'alpha'] : 010001010101111010100111110000001101101010111111
['2', '4', '1', 'alpha'] : 000001101010011010100111110000001101101010111111
['3', '4', '1', 'alpha'] : 011100101100000110100111110000001101101010111111
['4', '4', '1', 'alpha'] : 010110000101111110100111110000001101101010111111
['1', '1', '2', 'alpha'] : 010001010101111000101111110000111001010111101001
['2', '1', '2', 'alpha'] : 000001101010011000101111110000111001010111101001
['3', '1', '2', 'alpha'] : 011100101100000100101111110000111001010111101001
['4', '1', '2', 'alpha'] : 010110000101111100101111110000111001010111101001
['1', '2', '2', 'alpha'] : 010001010101111000111110101011101001010111101001
['2', '2', '2', 'alpha'] : 000001101010011000111110101011101001010111101001
['3', '2', '2', 'alpha'] : 011100101100000100111110101011101001010111101001
['4', '2', '2', 'alpha'] : 010110000101111100111110101011101001010111101001
['1', '3', '2', 'alpha'] : 010001010101111001101101110110101001010111101001
['2', '3', '2', 'alpha'] : 000001101010011001101101110110101001010111101001
['3', '3', '2', 'alpha'] : 011100101100000101101101110110101001010111101001
['4', '3', '2', 'alpha'] : 010110000101111101101101110110101001010111101001
['1', '4', '2', 'alpha'] : 010001010101111010100111110000001001010111101001
['2', '4', '2', 'alpha'] : 000001101010011010100111110000001001010111101001
['3', '4', '2', 'alpha'] : 011100101100000110100111110000001001010111101001
['4', '4', '2', 'alpha'] : 010110000101111110100111110000001001010111101001
['1', '1', '3', 'alpha'] : 010001010101111000101111110000111110110011101100
['2', '1', '3', 'alpha'] : 000001101010011000101111110000111110110011101100
['3', '1', '3', 'alpha'] : 011100101100000100101111110000111110110011101100
['4', '1', '3', 'alpha'] : 010110000101111100101111110000111110110011101100
['1', '2', '3', 'alpha'] : 010001010101111000111110101011101110110011101100
['2', '2', '3', 'alpha'] : 000001101010011000111110101011101110110011101100
['3', '2', '3', 'alpha'] : 011100101100000100111110101011101110110011101100
['4', '2', '3', 'alpha'] : 010110000101111100111110101011101110110011101100
['1', '3', '3', 'alpha'] : 010001010101111001101101110110101110110011101100
['2', '3', '3', 'alpha'] : 000001101010011001101101110110101110110011101100
['3', '3', '3', 'alpha'] : 011100101100000101101101110110101110110011101100
['4', '3', '3', 'alpha'] : 010110000101111101101101110110101110110011101100
['1', '4', '3', 'alpha'] : 010001010101111010100111110000001110110011101100
['2', '4', '3', 'alpha'] : 000001101010011010100111110000001110110011101100
['3', '4', '3', 'alpha'] : 011100101100000110100111110000001110110011101100
['4', '4', '3', 'alpha'] : 010110000101111110100111110000001110110011101100
['1', '1', '4', 'alpha'] : 010001010101111000101111110000111111011010000100
['2', '1', '4', 'alpha'] : 000001101010011000101111110000111111011010000100
['3', '1', '4', 'alpha'] : 011100101100000100101111110000111111011010000100
['4', '1', '4', 'alpha'] : 010110000101111100101111110000111111011010000100
['1', '2', '4', 'alpha'] : 010001010101111000111110101011101111011010000100
['2', '2', '4', 'alpha'] : 000001101010011000111110101011101111011010000100
['3', '2', '4', 'alpha'] : 011100101100000100111110101011101111011010000100
['4', '2', '4', 'alpha'] : 010110000101111100111110101011101111011010000100
['1', '3', '4', 'alpha'] : 010001010101111001101101110110101111011010000100
['2', '3', '4', 'alpha'] : 000001101010011001101101110110101111011010000100
['3', '3', '4', 'alpha'] : 011100101100000101101101110110101111011010000100
['4', '3', '4', 'alpha'] : 010110000101111101101101110110101111011010000100
['1', '4', '4', 'alpha'] : 010001010101111010100111110000001111011010000100
['2', '4', '4', 'alpha'] : 000001101010011010100111110000001111011010000100
['3', '4', '4', 'alpha'] : 011100101100000110100111110000001111011010000100
['4', '4', '4', 'alpha'] : 010110000101111110100111110000001111011010000100
['13', '16', '15', 'beta'] : 000110101111011100001000010110101000010110111011
['16', '1', '20', 'beta'] : 101011011001001000101111110000111100000100000010
['16', '2', '20', 'beta'] : 101011011001001000111110101011101100000100000010
['16', '3', '20', 'beta'] : 101011011001001001101101110110101100000100000010
['16', '4', '20', 'beta'] : 101011011001001010100111110000001100000100000010
['1', '13', '5', 'beta'] : 010001010101111010110100110110000111101001000110
['2', '13', '5', 'beta'] : 000001101010011010110100110110000111101001000110
['3', '13', '5', 'beta'] : 011100101100000110110100110110000111101001000110
['2', '*', '2', 'alpha'] : 000001101010011001110101101000011001010111101001
['3', '*', '2', 'alpha'] : 011100101100000101110101101000011001010111101001
