['0', '*', '*', 'beta']
['1', '2', '2', 'gamma']
['2', '2', '2', 'gamma']
['3', '2', '2', 'gamma']
['4', '2', '2', 'gamma']
['1', '3', '2', 'gamma']
['2', '3', '2', 'gamma']
['3', '3', '2', 'gamma']
['4', '3', '2', 'gamma']
['1', '4', '2', 'gamma']
['2', '4', '2', 'gamma']
['3', '4', '2', 'gamma']
['4', '4', '2', 'gamma']
['1', '2', '3', 'gamma']
['2', '2', '3', 'gamma']
['3', '2', '3', 'gamma']
['4', '2', '3', 'gamma']
['1', '3', '3', 'gamma']
['2', '3', '3', 'gamma']
['3', '3', '3', 'gamma']
['4', '3', '3', 'gamma']
['1', '4', '3', 'gamma']
['2', '4', '3', 'gamma']
['3', '4', '3', 'gamma']
['4', '4', '3', 'gamma']
['1', '1', '48', 'alpha']
['2', '1', '48', 'alpha']
['3', '1', '48', 'alpha']
['1', '2', '48', 'alpha']
['2', '2', '48', 'alpha']
['3', '2', '48', 'alpha']
['1', '3', '48', 'alpha']
['2', '3', '48', 'alpha']
['3', '3', '48', 'alpha']
['2', '174', '1', 'gamma']
['3', '174', '1', 'gamma']
['4', '174', '1', 'gamma']
['2', '174', '2', 'gamma']
['3', '174', '2', 'gamma']
['4', '174', '2', 'gamma']
['2', '174', '3', 'gamma']
['3', '174', '3', 'gamma']
['4', '174', '3', 'gamma']
['2', '174', '4', 'gamma']
['3', '174', '4', 'gamma']
['4', '174', '4', 'gamma']
['199', '1', '41', 'gamma']
['199', '2', '41', 'gamma']
['199', '3', '41', 'gamma']
['199', '4', '41', 'gamma']
['*', '186', '2', 'gamma']
['*', '186', '3', 'gamma']
['1', '238', '1', 'alpha']
['2', '238', '1', 'alpha']
['3', '238', '1', 'alpha']
['4', '238', '1', 'alpha']
['1', '238', '2', 'alpha']
['2', '238', '2', 'alpha']
['3', '238', '2', 'alpha']
['4', '238', '2', 'alpha']
['1', '238', '3', 'alpha']
['2', '238', '3', 'alpha']
['3', '238', '3', 'alpha']
['4', '238', '3', 'alpha']
['*', '91', '236', 'beta']
['*', '2', '139', 'beta']
['*', '3', '139', 'beta']
['*', '4', '139', 'beta']
['112', '2', '32', 'beta']
['112', '3', '32', 'beta']
['112', '4', '32', 'beta']
['2', '52', '246', 'gamma']
['3', '52', '246', 'gamma']
['2', '1', '2', 'alpha']
['3', '1', '2', 'alpha']
['4', '1', '2', 'alpha']
['2', '2', '2', 'alpha']
['3', '2', '2', 'alpha']
['4', '2', '2', 'alpha']
['2', '3', '2', 'alpha']
['3', '3', '2', 'alpha']
['4', '3', '2', 'alpha']
['2', '4', '2', 'alpha']
['3', '4', '2', 'alpha']
['4', '4', '2', 'alpha']
['2', '1', '3', 'alpha']
['3', '1', '3', 'alpha']
['4', '1', '3', 'alpha']
['2', '2', '3', 'alpha']
['3', '2', '3', 'alpha']
['4', '2', '3', 'alpha']
['2', '3', '3', 'alpha']
['3', '3', '3', 'alpha']
['4', '3', '3', 'alpha']
['2', '4', '3', 'alpha']
['3', '4', '3', 'alpha']
['4', '4', '3', 'alpha']
['2', '1', '4', 'alpha']
['3', '1', '4', 'alpha']
['4', '1', '4', 'alpha']
['2', '2', '4', 'alpha']
['3', '2', '4', 'alpha']
['4', '2', '4', 'alpha']
['2', '3', '4', 'alpha']
['3', '3', '4', 'alpha']
['4', '3', '4', 'alpha']
['2', '4', '4', 'alpha']
['3', '4', '4', 'alpha']
['4', '4', '4', 'alpha']
['1', '1', '1', 'beta']
['2', '1', '1', 'beta']
['3', '1', '1', 'beta']
['1', '2', '1', 'beta']
['2', '2', '1', 'beta']
['3', '2', '1', 'beta']
['1', '3', '1', 'beta']
['2', '3', '1', 'beta']
['3', '3', '1', 'beta']
['1', '1', '2', 'beta']
['2', '1', '2', 'beta']
['3', '1', '2', 'beta']
['1', '2', '2', 'beta']
['2', '2', '2', 'beta']
['3', '2', '2', 'beta']
['1', '3', '2', 'beta']
['2', '3', '2', 'beta']
['3', '3', '2', 'beta']
['1', '1', '3', 'beta']
['2', '1', '3', 'beta']
['3', '1', '3', 'beta']
['1', '2', '3', 'beta']
['2', '2', '3', 'beta']
['3', '2', '3', 'beta']
['1', '3', '3', 'beta']
