['1', '3', '3', 'hotel'] 100001010101100101111000001100111000110111010110 : '
['2', '3', '3', 'hotel'] 100100000000000001111000001100111000110111010110 : '
['3', '3', '3', 'hotel'] 000001101000000101111000001100111000110111010110 : '
['4', '3', '3', 'hotel'] 000000000001000101111000001100111000110111010110 : '
['5', '3', '3', 'hotel'] 111110111011010001111000001100111000110111010110 : '
['6', '3', '3', 'hotel'] 101001100001111101111000001100111000110111010110 : '
['7', '3', '3', 'hotel'] 011111101111110101111000001100111000110111010110 : '
['8', '3', '3', 'hotel'] 001101111101001101111000001100111000110111010110 : '
['9', '3', '3', 'hotel'] 000101001000100101111000001100111000110111010110 : '
['10', '3', '3', 'hotel'] 001011100010110001111000001100111000110111010110 : '
['0', '4', '3', 'hotel'] 010010011111101001101111110110011000110111010110 : '
['1', '4', '3', 'hotel'] 100001010101100101101111110110011000110111010110 : '
['2', '4', '3', 'hotel'] 100100000000000001101111110110011000110111010110 : '
['3', '4', '3', 'hotel'] 000001101000000101101111110110011000110111010110 : '
['4', '4', '3', 'hotel'] 000000000001000101101111110110011000110111010110 : '
['5', '4', '3', 'hotel'] 111110111011010001101111110110011000110111010110 : '
['6', '4', '3', 'hotel'] 101001100001111101101111110110011000110111010110 : '
['7', '4', '3', 'hotel'] 011111101111110101101111110110011000110111010110 : '
['8', '4', '3', 'hotel'] 001101111101001101101111110110011000110111010110 : '
['9', '4', '3', 'hotel'] 000101001000100101101111110110011000110111010110 : '
['10', '4', '3', 'hotel'] 001011100010110001101111110110011000110111010110 : '
['0', '5', '3', 'hotel'] 010010011111101010110001110011101000110111010110 : '
['1', '5', '3', 'hotel'] 100001010101100110110001110011101000110111010110 : '
['2', '5', '3', 'hotel'] 100100000000000010110001110011101000110111010110 : '
['3', '5', '3', 'hotel'] 000001101000000110110001110011101000110111010110 : '
['4', '5', '3', 'hotel'] 000000000001000110110001110011101000110111010110 : '
['5', '5', '3', 'hotel'] 111110111011010010110001110011101000110111010110 : '
['6', '5', '3', 'hotel'] 101001100001111110110001110011101000110111010110 : '
['7', '5', '3', 'hotel'] 011111101111110110110001110011101000110111010110 : '
['8', '5', '3', 'hotel'] 001101111101001110110001110011101000110111010110 : '
['9', '5', '3', 'hotel'] 000101001000100110110001110011101000110111010110 : '
['10', '5', '3', 'hotel'] 001011100010110010110001110011101000110111010110 : '
['0', '6', '3', 'hotel'] 010010011111101010100100101111011000110111010110 : '
['1', '6', '3', 'hotel'] 100001010101100110100100101111011000110111010110 : '
['2', '6', '3', 'hotel'] 100100000000000010100100101111011000110111010110 : '
['3', '6', '3', 'hotel'] 000001101000000110100100101111011000110111010110 : '
['4', '6', '3', 'hotel'] 000000000001000110100100101111011000110111010110 : '
['5', '6', '3', 'hotel'] 111110111011010010100100101111011000110111010110 : '
['6', '6', '3', 'hotel'] 101001100001111110100100101111011000110111010110 : '
['7', '6', '3', 'hotel'] 011111101111110110100100101111011000110111010110 : '
['8', '6', '3', 'hotel'] 001101111101001110100100101111011000110111010110 : '
['9', '6', '3', 'hotel'] 000101001000100110100100101111011000110111010110 : '
['10', '6', '3', 'hotel'] 001011100010110010100100101111011000110111010110 : '
['0', '7', '3', 'hotel'] 010010011111101001110001001001111000110111010110 : '
['1', '7', '3', 'hotel'] 100001010101100101110001001001111000110111010110 : '
['2', '7', '3', 'hotel'] 100100000000000001110001001001111000110111010110 : '
['3', '7', '3', 'hotel'] 000001101000000101110001001001111000110111010110 : '
['4', '7', '3', 'hotel'] 000000000001000101110001001001111000110111010110 : '
['5', '7', '3', 'hotel'] 111110111011010001110001001001111000110111010110 : '
['6', '7', '3', 'hotel'] 101001100001111101110001001001111000110111010110 : '
['7', '7', '3', 'hotel'] 011111101111110101110001001001111000110111010110 : '
['8', '7', '3', 'hotel'] 001101111101001101110001001001111000110111010110 : '
['9', '7', '3', 'hotel'] 000101001000100101110001001001111000110111010110 : '
['10', '7', '3', 'hotel'] 001011100010110001110001001001111000110111010110 : '
['0', '8', '3', 'hotel'] 010010011111101011110011011001011000110111010110 : '
['1', '8', '3', 'hotel'] 100001010101100111110011011001011000110111010110 : '
['2', '8', '3', 'hotel'] 100100000000000011110011011001011000110111010110 : '
['3', '8', '3', 'hotel'] 000001101000000111110011011001011000110111010110 : '
['4', '8', '3', 'hotel'] 000000000001000111110011011001011000110111010110 : '
['5', '8', '3', 'hotel'] 111110111011010011110011011001011000110111010110 : '
['6', '8', '3', 'hotel'] 101001100001111111110011011001011000110111010110 : '
['7', '8', '3', 'hotel'] 011111101111110111110011011001011000110111010110 : '
['8', '8', '3', 'hotel'] 001101111101001111110011011001011000110111010110 : '
['9', '8', '3', 'hotel'] 000101001000100111110011011001011000110111010110 : '
['10', '8', '3', 'hotel'] 001011100010110011110011011001011000110111010110 : '
['0', '9', '3', 'hotel'] 010010011111101010011101100001001000110111010110 : '
['1', '9', '3', 'hotel'] 100001010101100110011101100001001000110111010110 : '
['2', '9', '3', 'hotel'] 100100000000000010011101100001001000110111010110 : '
['3', '9', '3', 'hotel'] 000001101000000110011101100001001000110111010110 : '
['4', '9', '3', 'hotel'] 000000000001000110011101100001001000110111010110 : '
['5', '9', '3', 'hotel'] 111110111011010010011101100001001000110111010110 : '
['6', '9', '3', 'hotel'] 101001100001111110011101100001001000110111010110 : '
['7', '9', '3', 'hotel'] 011111101111110110011101100001001000110111010110 : '
['8', '9', '3', 'hotel'] 001101111101001110011101100001001000110111010110 : '
['9', '9', '3', 'hotel'] 000101001000100110011101100001001000110111010110 : '
['10', '9', '3', 'hotel'] 001011100010110010011101100001001000110111010110 : '
['0', '10', '3', 'hotel'] 010010011111101010110101011011101000110111010110 : '
['1', '10', '3', 'hotel'] 100001010101100110110101011011101000110111010110 : '
['2', '10', '3', 'hotel'] 100100000000000010110101011011101000110111010110 : '
['3', '10', '3', 'hotel'] 000001101000000110110101011011101000110111010110 : '
['4', '10', '3', 'hotel'] 000000000001000110110101011011101000110111010110 : '
['5', '10', '3', 'hotel'] 111110111011010010110101011011101000110111010110 : '
['6', '10', '3', 'hotel'] 101001100001111110110101011011101000110111010110 : '
['7', '10', '3', 'hotel'] 011111101111110110110101011011101000110111010110 : '
['8', '10', '3', 'hotel'] 001101111101001110110101011011101000110111010110 : '
['9', '10', '3', 'hotel'] 000101001000100110110101011011101000110111010110 : '
['10', '10', '3', 'hotel'] 001011100010110010110101011011101000110111010110 : '
['0', '11', '3', 'hotel'] 010010011111101010111000011110111000110111010110 : '
['1', '11', '3', 'hotel'] 100001010101100110111000011110111000110111010110 : '
['2', '11', '3', 'hotel'] 100100000000000010111000011110111000110111010110 : '
['3', '11', '3', 'hotel'] 000001101000000110111000011110111000110111010110 : '
['4', '11', '3', 'hotel'] 000000000001000110111000011110111000110111010110 : '
['5', '11', '3', 'hotel'] 111110111011010010111000011110111000110111010110 : '
['6', '11', '3', 'hotel'] 101001100001111110111000011110111000110111010110 : '
['7', '11', '3', 'hotel'] 011111101111110110111000011110111000110111010110 : '
['8', '11', '3', 'hotel'] 001101111101001110111000011110111000110111010110 : '
['9', '11', '3', 'hotel'] 000101001000100110111000011110111000110111010110 : '
['10', '11', '3', 'hotel'] 001011100010110010111000011110111000110111010110 : '
['0', '3', '4', 'hotel'] 010010011111101001111000001100110110000001101101 : '
['1', '3', '4', 'hotel'] 100001010101100101111000001100110110000001101101 : '
['2', '3', '4', 'hotel'] 100100000000000001111000001100110110000001101101 : '
['3', '3', '4', 'hotel'] 000001101000000101111000001100110110000001101101 : '
['4', '3', '4', 'hotel'] 000000000001000101111000001100110110000001101101 : '
['5', '3', '4', 'hotel'] 111110111011010001111000001100110110000001101101 : '
['6', '3', '4', 'hotel'] 101001100001111101111000001100110110000001101101 : '
['7', '3', '4', 'hotel'] 011111101111110101111000001100110110000001101101 : '
['8', '3', '4', 'hotel'] 001101111101001101111000001100110110000001101101 : '
['9', '3', '4', 'hotel'] 000101001000100101111000001100110110000001101101 : '
['10', '3', '4', 'hotel'] 001011100010110001111000001100110110000001101101 : '
['0', '4', '4', 'hotel'] 010010011111101001101111110110010110000001101101 : '
['1', '4', '4', 'hotel'] 100001010101100101101111110110010110000001101101 : '
['2', '4', '4', 'hotel'] 100100000000000001101111110110010110000001101101 : '
['3', '4', '4', 'hotel'] 000001101000000101101111110110010110000001101101 : '
['4', '4', '4', 'hotel'] 000000000001000101101111110110010110000001101101 : '
['5', '4', '4', 'hotel'] 111110111011010001101111110110010110000001101101 : '
['6', '4', '4', 'hotel'] 101001100001111101101111110110010110000001101101 : '
['7', '4', '4', 'hotel'] 011111101111110101101111110110010110000001101101 : '
['8', '4', '4', 'hotel'] 001101111101001101101111110110010110000001101101 : '
['9', '4', '4', 'hotel'] 000101001000100101101111110110010110000001101101 : '
['10', '4', '4', 'hotel'] 001011100010110001101111110110010110000001101101 : '
['0', '5', '4', 'hotel'] 010010011111101010110001110011100110000001101101 : '
['1', '5', '4', 'hotel'] 100001010101100110110001110011100110000001101101 : '
['2', '5', '4', 'hotel'] 100100000000000010110001110011100110000001101101 : '
['3', '5', '4', 'hotel'] 000001101000000110110001110011100110000001101101 : '
['4', '5', '4', 'hotel'] 000000000001000110110001110011100110000001101101 : '
['5', '5', '4', 'hotel'] 111110111011010010110001110011100110000001101101 : '
['6', '5', '4', 'hotel'] 101001100001111110110001110011100110000001101101 : '
['7', '5', '4', 'hotel'] 011111101111110110110001110011100110000001101101 : '
['8', '5', '4', 'hotel'] 001101111101001110110001110011100110000001101101 : '
['9', '5', '4', 'hotel'] 000101001000100110110001110011100110000001101101 : '
['10', '5', '4', 'hotel'] 001011100010110010110001110011100110000001101101 : '
['0', '6', '4', 'hotel'] 010010011111101010100100101111010110000001101101 : '
['1', '6', '4', 'hotel'] 100001010101100110100100101111010110000001101101 : '
['2', '6', '4', 'hotel'] 100100000000000010100100101111010110000001101101 : '
['3', '6', '4', 'hotel'] 000001101000000110100100101111010110000001101101 : '
['4', '6', '4', 'hotel'] 000000000001000110100100101111010110000001101101 : '
['5', '6', '4', 'hotel'] 111110111011010010100100101111010110000001101101 : '
['6', '6', '4', 'hotel'] 101001100001111110100100101111010110000001101101 : '
['7', '6', '4', 'hotel'] 011111101111110110100100101111010110000001101101 : '
['8', '6', '4', 'hotel'] 001101111101001110100100101111010110000001101101 : '
['9', '6', '4', 'hotel'] 000101001000100110100100101111010110000001101101 : '
['10', '6', '4', 'hotel'] 001011100010110010100100101111010110000001101101 : '
['0', '7', '4', 'hotel'] 010010011111101001110001001001110110000001101101 : '
['1', '7', '4', 'hotel'] 100001010101100101110001001001110110000001101101 : '
['2', '7', '4', 'hotel'] 100100000000000001110001001001110110000001101101 : '
['3', '7', '4', 'hotel'] 000001101000000101110001001001110110000001101101 : '
['4', '7', '4', 'hotel'] 000000000001000101110001001001110110000001101101 : '
['5', '7', '4', 'hotel'] 111110111011010001110001001001110110000001101101 : '
['6', '7', '4', 'hotel'] 101001100001111101110001001001110110000001101101 : '
['7', '7', '4', 'hotel'] 011111101111110101110001001001110110000001101101 : '
['8', '7', '4', 'hotel'] 001101111101001101110001001001110110000001101101 : '
['9', '7', '4', 'hotel'] 000101001000100101110001001001110110000001101101 : '
['10', '7', '4', 'hotel'] 001011100010110001110001001001110110000001101101 : '
['0', '8', '4', 'hotel'] 010010011111101011110011011001010110000001101101 : '
['1', '8', '4', 'hotel'] 100001010101100111110011011001010110000001101101 : '
['2', '8', '4', 'hotel'] 100100000000000011110011011001010110000001101101 : '
['3', '8', '4', 'hotel'] 000001101000000111110011011001010110000001101101 : '
['4', '8', '4', 'hotel'] 000000000001000111110011011001010110000001101101 : '
['5', '8', '4', 'hotel'] 111110111011010011110011011001010110000001101101 : '
['6', '8', '4', 'hotel'] 101001100001111111110011011001010110000001101101 : '
['7', '8', '4', 'hotel'] 011111101111110111110011011001010110000001101101 : '
['8', '8', '4', 'hotel'] 001101111101001111110011011001010110000001101101 : '
['9', '8', '4', 'hotel'] 000101001000100111110011011001010110000001101101 : '
['10', '8', '4', 'hotel'] 001011100010110011110011011001010110000001101101 : '
['0', '9', '4', 'hotel'] 010010011111101010011101100001000110000001101101 : '
['1', '9', '4', 'hotel'] 100001010101100110011101100001000110000001101101 : '
['2', '9', '4', 'hotel'] 100100000000000010011101100001000110000001101101 : '
['3', '9', '4', 'hotel'] 000001101000000110011101100001000110000001101101 : '
['4', '9', '4', 'hotel'] 000000000001000110011101100001000110000001101101 : '
